locus_tag	ftype	length_bp	gene	EC_number	COG	product
FHBDMOFE_00001	CDS	2028				ATP-dependent chaperone ClpB [Thiopseudomonas alkaliphila]
FHBDMOFE_00002	CDS	171				hypothetical protein
FHBDMOFE_00003	CDS	978				alpha-L-glutamate ligase-like protein [Thiopseudomonas alkaliphila]
FHBDMOFE_00004	CDS	1527				inactive transglutaminase family protein [Thiopseudomonas alkaliphila]
FHBDMOFE_00005	CDS	615				ATP-dependent zinc protease [Thiopseudomonas alkaliphila]
FHBDMOFE_00006	CDS	1152				MFS transporter [Thiopseudomonas alkaliphila]
FHBDMOFE_00007	CDS	456				hypothetical protein
FHBDMOFE_00008	CDS	627				alpha/beta fold hydrolase [Thiopseudomonas alkaliphila]
FHBDMOFE_00009	CDS	1347				tryptophan--tRNA ligase [Thiopseudomonas alkaliphila]
FHBDMOFE_00010	CDS	444				RNA polymerase-binding protein DksA [Thiopseudomonas alkaliphila]
FHBDMOFE_00011	CDS	351				hypothetical protein [Thiopseudomonas alkaliphila]
FHBDMOFE_00012	CDS	870				zinc metallopeptidase [Thiopseudomonas alkaliphila]
FHBDMOFE_00013	CDS	1764				thiol reductant ABC exporter subunit CydD [Thiopseudomonas alkaliphila]
FHBDMOFE_00014	CDS	153				ATP-binding cassette domain-containing protein [Thiopseudomonas alkaliphila]
FHBDMOFE_00015	CDS	1242				ATP-binding cassette domain-containing protein [Thiopseudomonas alkaliphila]
FHBDMOFE_00016	CDS	735				methyltransferase domain-containing protein [Thiopseudomonas alkaliphila]
FHBDMOFE_00017	CDS	444				ribonuclease HI [Thiopseudomonas alkaliphila]
FHBDMOFE_00018	CDS	717				DNA polymerase III subunit epsilon [Thiopseudomonas alkaliphila]
FHBDMOFE_00019	CDS	504				YeeE/YedE family protein [Thiopseudomonas alkaliphila]
FHBDMOFE_00020	CDS	411				hypothetical protein [Thiopseudomonas alkaliphila]
FHBDMOFE_00021	CDS	864				MBL fold metallo-hydrolase [Thiopseudomonas alkaliphila]
FHBDMOFE_00022	CDS	435				TIGR01244 family sulfur transferase [Thiopseudomonas alkaliphila]
FHBDMOFE_00023	CDS	1734				sulfate permease [Thiopseudomonas alkaliphila]
FHBDMOFE_00024	rRNA	1534				16S ribosomal RNA
FHBDMOFE_00025	tRNA	77				tRNA-Ile(gat)
FHBDMOFE_00026	tRNA	76				tRNA-Ala(tgc)
FHBDMOFE_00027	rRNA	2889				23S ribosomal RNA
FHBDMOFE_00028	rRNA	110				5S ribosomal RNA
FHBDMOFE_00029	CDS	600				CoA pyrophosphatase [Thiopseudomonas alkaliphila]
FHBDMOFE_00030	CDS	522				gamma carbonic anhydrase family protein [Thiopseudomonas alkaliphila]
FHBDMOFE_00031	CDS	189				hypothetical protein
FHBDMOFE_00032	CDS	1182				formate-dependent phosphoribosylglycinamide formyltransferase [Thiopseudomonas alkaliphila]
FHBDMOFE_00033	CDS	186				hypothetical protein [Thiopseudomonas alkaliphila]
FHBDMOFE_00034	CDS	636				endonuclease III [Thiopseudomonas alkaliphila]
FHBDMOFE_00035	CDS	1371				sodium:alanine symporter family protein [Thiopseudomonas alkaliphila]
FHBDMOFE_00036	CDS	501				thiol peroxidase [Thiopseudomonas alkaliphila]
FHBDMOFE_00037	CDS	252				hypothetical protein [Thiopseudomonas alkaliphila]
FHBDMOFE_00038	CDS	690				crotonase/enoyl-CoA hydratase family protein [Thiopseudomonas alkaliphila]
FHBDMOFE_00039	CDS	270				sulfurtransferase TusA [Thiopseudomonas alkaliphila]
FHBDMOFE_00040	CDS	891				NAD(+) kinase [Thiopseudomonas alkaliphila]
FHBDMOFE_00041	CDS	963				metallophosphoesterase [Thiopseudomonas alkaliphila]
FHBDMOFE_00042	CDS	864				rhomboid family intramembrane serine protease [Thiopseudomonas alkaliphila]
FHBDMOFE_00043	CDS	276				hypothetical protein
FHBDMOFE_00044	CDS	849				hypothetical protein
FHBDMOFE_00045	CDS	2640				aminopeptidase N [Thiopseudomonas alkaliphila]
FHBDMOFE_00046	CDS	1119				S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase [Thiopseudomonas alkaliphila]
FHBDMOFE_00047	CDS	861				S-formylglutathione hydrolase [Thiopseudomonas alkaliphila]
FHBDMOFE_00048	CDS	474				transcription elongation factor GreB [Thiopseudomonas alkaliphila]
FHBDMOFE_00049	CDS	660				hypothetical protein [Thiopseudomonas alkaliphila]
FHBDMOFE_00050	CDS	930				pirin family protein [Thiopseudomonas alkaliphila]
FHBDMOFE_00051	CDS	630				hydrolase [Thiopseudomonas alkaliphila]
FHBDMOFE_00052	CDS	2490				FtsX-like permease family protein [Thiopseudomonas alkaliphila]
FHBDMOFE_00053	CDS	675				ABC transporter ATP-binding protein [Thiopseudomonas alkaliphila]
FHBDMOFE_00054	CDS	621				arylesterase [Thiopseudomonas alkaliphila]
FHBDMOFE_00055	CDS	336				hypothetical protein [Thiopseudomonas alkaliphila]
FHBDMOFE_00056	CDS	1326				TRZ/ATZ family hydrolase [Thiopseudomonas alkaliphila]
FHBDMOFE_00057	CDS	282				HU family DNA-binding protein [Thiopseudomonas alkaliphila]
FHBDMOFE_00058	CDS	705				ABC transporter ATP-binding protein [Thiopseudomonas alkaliphila]
FHBDMOFE_00059	CDS	768				high-affinity branched-chain amino acid ABC transporter ATP-binding protein LivG [Thiopseudomonas alkaliphila]
FHBDMOFE_00060	CDS	1257				high-affinity branched-chain amino acid ABC transporter permease LivM [Thiopseudomonas alkaliphila]
FHBDMOFE_00061	CDS	927				high-affinity branched-chain amino acid ABC transporter permease LivH [Thiopseudomonas alkaliphila]
FHBDMOFE_00062	CDS	1125				branched-chain amino acid ABC transporter substrate-binding protein [Thiopseudomonas alkaliphila]
FHBDMOFE_00063	CDS	687				ribonuclease T [Thiopseudomonas alkaliphila]
FHBDMOFE_00064	CDS	1047				dihydroorotase [Thiopseudomonas alkaliphila]
FHBDMOFE_00065	CDS	1215				argininosuccinate synthase [Thiopseudomonas alkaliphila]
FHBDMOFE_00066	CDS	393				lactoylglutathione lyase [Thiopseudomonas alkaliphila]
FHBDMOFE_00067	CDS	147				hypothetical protein
FHBDMOFE_00068	CDS	1218				MFS transporter [Thiopseudomonas alkaliphila]
FHBDMOFE_00069	CDS	645				hypothetical protein [Thiopseudomonas alkaliphila]
FHBDMOFE_00070	CDS	744				YciK family oxidoreductase [Thiopseudomonas alkaliphila]
FHBDMOFE_00071	CDS	684				HAD-IA family hydrolase [Thiopseudomonas alkaliphila]
FHBDMOFE_00072	CDS	702				bifunctional 2-polyprenyl-6-hydroxyphenol methylase/3-demethylubiquinol 3-O-methyltransferase UbiG [Thiopseudomonas alkaliphila]
FHBDMOFE_00073	CDS	1008				sulfate ABC transporter substrate-binding protein [Thiopseudomonas alkaliphila]
