locus_tag	ftype	length_bp	gene	EC_number	COG	product
AOANCADE_00001	CDS	1734				ABC transporter ATP-binding protein [Thiopseudomonas alkaliphila]
AOANCADE_00002	CDS	1866				sigma-54-dependent Fis family transcriptional regulator [Thiopseudomonas alkaliphila]
AOANCADE_00003	tRNA	77				tRNA-Arg(cct)
AOANCADE_00004	rRNA	110				5S ribosomal RNA
AOANCADE_00005	rRNA	2889				23S ribosomal RNA
AOANCADE_00006	tRNA	76				tRNA-Ala(tgc)
AOANCADE_00007	tRNA	77				tRNA-Ile(gat)
AOANCADE_00008	rRNA	1541				16S ribosomal RNA
AOANCADE_00009	CDS	660				glutathione S-transferase family protein [Thiopseudomonas alkaliphila]
AOANCADE_00010	CDS	465				hypothetical protein [Thiopseudomonas alkaliphila]
AOANCADE_00011	CDS	483				Lrp/AsnC family transcriptional regulator [Thiopseudomonas alkaliphila]
AOANCADE_00012	CDS	201				hypothetical protein
AOANCADE_00013	CDS	1389				PhoH family protein [Thiopseudomonas alkaliphila]
AOANCADE_00014	CDS	1569				cytochrome ubiquinol oxidase subunit I [Thiopseudomonas alkaliphila]
AOANCADE_00015	CDS	1134				cytochrome d ubiquinol oxidase subunit II [Thiopseudomonas alkaliphila]
AOANCADE_00016	CDS	117				cytochrome bd-I oxidase subunit CydX [Thiopseudomonas alkaliphila]
AOANCADE_00017	CDS	924				LysR family transcriptional regulator [Thiopseudomonas alkaliphila]
AOANCADE_00018	CDS	321				hypothetical protein
AOANCADE_00019	CDS	1671				cation acetate symporter [Thiopseudomonas alkaliphila]
AOANCADE_00020	CDS	1134				4-phosphoerythronate dehydrogenase PdxB [Thiopseudomonas alkaliphila]
AOANCADE_00021	CDS	1365				exodeoxyribonuclease VII large subunit [Thiopseudomonas alkaliphila]
AOANCADE_00022	CDS	819				peptidoglycan DD-metalloendopeptidase family protein [Thiopseudomonas alkaliphila]
AOANCADE_00023	CDS	1257				mechanosensitive ion channel family protein [Thiopseudomonas alkaliphila]
AOANCADE_00024	CDS	2013				TonB-dependent copper receptor [Thiopseudomonas alkaliphila]
AOANCADE_00025	CDS	453				hypothetical protein
AOANCADE_00026	CDS	1665				2-isopropylmalate synthase [Thiopseudomonas alkaliphila]
AOANCADE_00027	CDS	207				SlyX family protein [Thiopseudomonas alkaliphila]
AOANCADE_00028	CDS	435				HIT domain-containing protein [Thiopseudomonas alkaliphila]
AOANCADE_00029	CDS	159				hypothetical protein
AOANCADE_00030	CDS	1329				OprD family outer membrane porin [Thiopseudomonas alkaliphila]
AOANCADE_00031	CDS	1710				proline--tRNA ligase [Thiopseudomonas alkaliphila]
AOANCADE_00032	CDS	1227				sodium/glutamate symporter [Thiopseudomonas alkaliphila]
AOANCADE_00033	CDS	231				hypothetical protein [Thiopseudomonas alkaliphila]
AOANCADE_00034	CDS	822				enoyl-CoA hydratase [Thiopseudomonas alkaliphila]
