locus_tag	ftype	length_bp	gene	EC_number	COG	product
KNEOLPGH_00001	CDS	2565				ATP-dependent chaperone ClpB [Thiopseudomonas alkaliphila]
KNEOLPGH_00002	CDS	171				hypothetical protein
KNEOLPGH_00003	CDS	978				alpha-L-glutamate ligase-like protein [Thiopseudomonas alkaliphila]
KNEOLPGH_00004	CDS	1527				inactive transglutaminase family protein [Thiopseudomonas alkaliphila]
KNEOLPGH_00005	CDS	615				ATP-dependent zinc protease [Thiopseudomonas alkaliphila]
KNEOLPGH_00006	CDS	1152				MFS transporter [Thiopseudomonas alkaliphila]
KNEOLPGH_00007	CDS	456				hypothetical protein
KNEOLPGH_00008	CDS	627				alpha/beta fold hydrolase [Thiopseudomonas alkaliphila]
KNEOLPGH_00009	CDS	1347				tryptophan--tRNA ligase [Thiopseudomonas alkaliphila]
KNEOLPGH_00010	CDS	444				RNA polymerase-binding protein DksA [Thiopseudomonas alkaliphila]
KNEOLPGH_00011	CDS	351				hypothetical protein [Thiopseudomonas alkaliphila]
KNEOLPGH_00012	CDS	870				zinc metallopeptidase [Thiopseudomonas alkaliphila]
KNEOLPGH_00013	CDS	1764				thiol reductant ABC exporter subunit CydD [Thiopseudomonas alkaliphila]
KNEOLPGH_00014	CDS	1611				ATP-binding cassette domain-containing protein [Thiopseudomonas alkaliphila]
KNEOLPGH_00015	CDS	735				methyltransferase domain-containing protein [Thiopseudomonas alkaliphila]
KNEOLPGH_00016	CDS	444				ribonuclease HI [Thiopseudomonas alkaliphila]
KNEOLPGH_00017	CDS	717				DNA polymerase III subunit epsilon [Thiopseudomonas alkaliphila]
KNEOLPGH_00018	CDS	504				YeeE/YedE family protein [Thiopseudomonas alkaliphila]
KNEOLPGH_00019	CDS	411				hypothetical protein [Thiopseudomonas alkaliphila]
KNEOLPGH_00020	CDS	864				MBL fold metallo-hydrolase [Thiopseudomonas alkaliphila]
KNEOLPGH_00021	CDS	435				TIGR01244 family sulfur transferase [Thiopseudomonas alkaliphila]
KNEOLPGH_00022	CDS	1734				sulfate permease [Thiopseudomonas alkaliphila]
KNEOLPGH_00023	rRNA	1541				16S ribosomal RNA
KNEOLPGH_00024	tRNA	77				tRNA-Ile(gat)
KNEOLPGH_00025	tRNA	76				tRNA-Ala(tgc)
KNEOLPGH_00026	rRNA	2889				23S ribosomal RNA
KNEOLPGH_00027	rRNA	110				5S ribosomal RNA
KNEOLPGH_00028	CDS	600				CoA pyrophosphatase [Thiopseudomonas alkaliphila]
KNEOLPGH_00029	CDS	522				gamma carbonic anhydrase family protein [Thiopseudomonas alkaliphila]
KNEOLPGH_00030	CDS	189				hypothetical protein
KNEOLPGH_00031	CDS	1182				formate-dependent phosphoribosylglycinamide formyltransferase [Thiopseudomonas alkaliphila]
KNEOLPGH_00032	CDS	186				hypothetical protein [Thiopseudomonas alkaliphila]
KNEOLPGH_00033	CDS	636				endonuclease III [Thiopseudomonas alkaliphila]
KNEOLPGH_00034	CDS	1371				sodium:alanine symporter family protein [Thiopseudomonas alkaliphila]
KNEOLPGH_00035	CDS	501				thiol peroxidase [Thiopseudomonas alkaliphila]
KNEOLPGH_00036	CDS	252				hypothetical protein [Thiopseudomonas alkaliphila]
KNEOLPGH_00037	CDS	690				crotonase/enoyl-CoA hydratase family protein [Thiopseudomonas alkaliphila]
KNEOLPGH_00038	CDS	270				sulfurtransferase TusA [Thiopseudomonas alkaliphila]
KNEOLPGH_00039	CDS	891				NAD(+) kinase [Thiopseudomonas alkaliphila]
KNEOLPGH_00040	CDS	963				metallophosphoesterase [Thiopseudomonas alkaliphila]
KNEOLPGH_00041	CDS	864				rhomboid family intramembrane serine protease [Thiopseudomonas alkaliphila]
KNEOLPGH_00042	CDS	276				hypothetical protein
KNEOLPGH_00043	CDS	849				hypothetical protein
KNEOLPGH_00044	CDS	2640				aminopeptidase N [Thiopseudomonas alkaliphila]
KNEOLPGH_00045	CDS	1119				S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase [Thiopseudomonas alkaliphila]
KNEOLPGH_00046	CDS	861				S-formylglutathione hydrolase [Thiopseudomonas alkaliphila]
KNEOLPGH_00047	CDS	474				transcription elongation factor GreB [Thiopseudomonas alkaliphila]
KNEOLPGH_00048	CDS	660				hypothetical protein [Thiopseudomonas alkaliphila]
KNEOLPGH_00049	CDS	930				pirin family protein [Thiopseudomonas alkaliphila]
KNEOLPGH_00050	CDS	630				hydrolase [Thiopseudomonas alkaliphila]
KNEOLPGH_00051	CDS	2490				FtsX-like permease family protein [Thiopseudomonas alkaliphila]
KNEOLPGH_00052	CDS	675				ABC transporter ATP-binding protein [Thiopseudomonas alkaliphila]
KNEOLPGH_00053	CDS	621				arylesterase [Thiopseudomonas alkaliphila]
KNEOLPGH_00054	CDS	336				hypothetical protein [Thiopseudomonas alkaliphila]
KNEOLPGH_00055	CDS	1326				TRZ/ATZ family hydrolase [Thiopseudomonas alkaliphila]
KNEOLPGH_00056	CDS	282				HU family DNA-binding protein [Thiopseudomonas alkaliphila]
KNEOLPGH_00057	CDS	705				ABC transporter ATP-binding protein [Thiopseudomonas alkaliphila]
KNEOLPGH_00058	CDS	768				high-affinity branched-chain amino acid ABC transporter ATP-binding protein LivG [Thiopseudomonas alkaliphila]
KNEOLPGH_00059	CDS	1257				high-affinity branched-chain amino acid ABC transporter permease LivM [Thiopseudomonas alkaliphila]
KNEOLPGH_00060	CDS	927				high-affinity branched-chain amino acid ABC transporter permease LivH [Thiopseudomonas alkaliphila]
KNEOLPGH_00061	CDS	1125				branched-chain amino acid ABC transporter substrate-binding protein [Thiopseudomonas alkaliphila]
KNEOLPGH_00062	CDS	687				ribonuclease T [Thiopseudomonas alkaliphila]
KNEOLPGH_00063	CDS	1047				dihydroorotase [Thiopseudomonas alkaliphila]
KNEOLPGH_00064	CDS	1215				argininosuccinate synthase [Thiopseudomonas alkaliphila]
KNEOLPGH_00065	CDS	393				lactoylglutathione lyase [Thiopseudomonas alkaliphila]
KNEOLPGH_00066	CDS	147				hypothetical protein [Thiopseudomonas alkaliphila]
KNEOLPGH_00067	CDS	1218				MFS transporter [Thiopseudomonas alkaliphila]
KNEOLPGH_00068	CDS	645				hypothetical protein [Thiopseudomonas alkaliphila]
KNEOLPGH_00069	CDS	744				YciK family oxidoreductase [Thiopseudomonas alkaliphila]
KNEOLPGH_00070	CDS	684				HAD-IA family hydrolase [Thiopseudomonas alkaliphila]
KNEOLPGH_00071	CDS	702				bifunctional 2-polyprenyl-6-hydroxyphenol methylase/3-demethylubiquinol 3-O-methyltransferase UbiG [Thiopseudomonas alkaliphila]
