locus_tag	ftype	length_bp	gene	EC_number	COG	product
ELEJIIIG_00001	CDS	447				SPOR domain-containing protein [Thiopseudomonas alkaliphila]
ELEJIIIG_00002	CDS	498				CvpA family protein [Thiopseudomonas alkaliphila]
ELEJIIIG_00003	CDS	1506				amidophosphoribosyltransferase [Thiopseudomonas alkaliphila]
ELEJIIIG_00004	CDS	1212				O-succinylhomoserine sulfhydrylase [Thiopseudomonas alkaliphila]
ELEJIIIG_00005	CDS	1434				exodeoxyribonuclease I [Thiopseudomonas alkaliphila]
ELEJIIIG_00006	CDS	375				DNA binding protein [Thiopseudomonas alkaliphila]
ELEJIIIG_00007	CDS	1386				oxygen-independent coproporphyrinogen III oxidase [Thiopseudomonas alkaliphila]
ELEJIIIG_00008	CDS	1575				phospholipase D family protein [Thiopseudomonas alkaliphila]
ELEJIIIG_00009	CDS	1329				trigger factor [Thiopseudomonas alkaliphila]
ELEJIIIG_00010	CDS	630				ATP-dependent Clp endopeptidase proteolytic subunit ClpP [Thiopseudomonas alkaliphila]
ELEJIIIG_00011	CDS	1260				ATP-dependent Clp protease ATP-binding subunit ClpX [Thiopseudomonas alkaliphila]
ELEJIIIG_00012	CDS	2409				endopeptidase La [Thiopseudomonas alkaliphila]
ELEJIIIG_00013	CDS	273				HU family DNA-binding protein [Thiopseudomonas alkaliphila]
ELEJIIIG_00014	CDS	1872				hypothetical protein
ELEJIIIG_00015	CDS	255				YheU family protein [Thiopseudomonas alkaliphila]
ELEJIIIG_00016	CDS	597				NAD(P)H-dependent oxidoreductase [Thiopseudomonas alkaliphila]
ELEJIIIG_00017	CDS	1332				SLC13 family permease [Thiopseudomonas alkaliphila]
ELEJIIIG_00018	CDS	867				Dyp-type peroxidase [Thiopseudomonas alkaliphila]
ELEJIIIG_00019	CDS	477				SsrA-binding protein SmpB [Thiopseudomonas alkaliphila]
ELEJIIIG_00020	CDS	438				type II toxin-antitoxin system RatA family toxin [Thiopseudomonas alkaliphila]
ELEJIIIG_00021	CDS	321				RnfH family protein [Thiopseudomonas alkaliphila]
ELEJIIIG_00022	CDS	582				outer membrane protein assembly factor BamE [Thiopseudomonas alkaliphila]
ELEJIIIG_00023	CDS	411				ferric iron uptake transcriptional regulator [Thiopseudomonas alkaliphila]
ELEJIIIG_00024	CDS	816				hypothetical protein [Thiopseudomonas alkaliphila]
ELEJIIIG_00025	CDS	1005				nucleoid-associated protein YejK [Thiopseudomonas alkaliphila]
ELEJIIIG_00026	CDS	597				IMPACT family protein [Thiopseudomonas alkaliphila]
ELEJIIIG_00027	CDS	1401				C4-dicarboxylate ABC transporter substrate-binding protein [Thiopseudomonas alkaliphila]
ELEJIIIG_00028	CDS	342				50S ribosome-binding protein YggL [Thiopseudomonas alkaliphila]
ELEJIIIG_00029	CDS	453				hypothetical protein [Thiopseudomonas alkaliphila]
ELEJIIIG_00030	CDS	996				LLM class flavin-dependent oxidoreductase [Thiopseudomonas alkaliphila]
ELEJIIIG_00031	CDS	906				transporter [Thiopseudomonas alkaliphila]
ELEJIIIG_00032	CDS	2067				PQQ-dependent dehydrogenase, methanol/ethanol family [Thiopseudomonas alkaliphila]
ELEJIIIG_00033	CDS	537				adenine phosphoribosyltransferase [Thiopseudomonas alkaliphila]
ELEJIIIG_00034	CDS	1305				GntP family permease [Thiopseudomonas alkaliphila]
ELEJIIIG_00035	CDS	312				hypothetical protein
ELEJIIIG_00036	CDS	894				NAD(P)-dependent oxidoreductase [Thiopseudomonas alkaliphila]
ELEJIIIG_00037	CDS	789				TIM barrel protein [Thiopseudomonas alkaliphila]
ELEJIIIG_00038	CDS	171				hypothetical protein [Thiopseudomonas alkaliphila]
ELEJIIIG_00039	CDS	663				Bax inhibitor-1/YccA family protein [Thiopseudomonas alkaliphila]
ELEJIIIG_00040	tRNA	88				tRNA-Ser(tga)
ELEJIIIG_00041	CDS	156				hypothetical protein
ELEJIIIG_00042	CDS	525				macro domain-containing protein [Thiopseudomonas alkaliphila]
ELEJIIIG_00043	CDS	1287				glutamate-1-semialdehyde 2,1-aminomutase [Thiopseudomonas alkaliphila]
ELEJIIIG_00044	CDS	618				thiamine phosphate synthase [Thiopseudomonas alkaliphila]
ELEJIIIG_00045	CDS	816				bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase [Thiopseudomonas alkaliphila]
ELEJIIIG_00046	CDS	1020				DNA polymerase III subunit delta [Thiopseudomonas alkaliphila]
ELEJIIIG_00047	CDS	606				hypothetical protein [Thiopseudomonas alkaliphila]
ELEJIIIG_00048	CDS	2619				leucine--tRNA ligase [Thiopseudomonas alkaliphila]
ELEJIIIG_00049	CDS	828				YdcF family protein [Thiopseudomonas alkaliphila]
