locus_tag	ftype	length_bp	gene	EC_number	COG	product
CNPCJCIP_00001	CDS	858				CDP-diacylglycerol--serine O-phosphatidyltransferase [Thiopseudomonas alkaliphila]
CNPCJCIP_00002	CDS	1017				ketol-acid reductoisomerase [Thiopseudomonas alkaliphila]
CNPCJCIP_00003	CDS	492				acetolactate synthase small subunit [Thiopseudomonas alkaliphila]
CNPCJCIP_00004	CDS	1725				acetolactate synthase 3 large subunit [Thiopseudomonas alkaliphila]
CNPCJCIP_00005	CDS	1347				metalloprotease PmbA [Thiopseudomonas alkaliphila]
CNPCJCIP_00006	CDS	528				ribosome biogenesis factor YjgA [Thiopseudomonas alkaliphila]
CNPCJCIP_00007	CDS	1443				metalloprotease TldD [Thiopseudomonas alkaliphila]
CNPCJCIP_00008	CDS	807				carbon-nitrogen hydrolase family protein [Thiopseudomonas alkaliphila]
CNPCJCIP_00009	CDS	606				2'-5' RNA ligase family protein [Thiopseudomonas alkaliphila]
CNPCJCIP_00010	CDS	504				phosphate-starvation-inducible PsiE family protein [Thiopseudomonas alkaliphila]
CNPCJCIP_00011	CDS	270				YebG family protein [Thiopseudomonas alkaliphila]
CNPCJCIP_00012	CDS	333				hypothetical protein
CNPCJCIP_00013	CDS	1095				tRNA (uridine(54)-C5)-methyltransferase TrmA [Thiopseudomonas alkaliphila]
CNPCJCIP_00014	CDS	879				16S rRNA (cytidine(1402)-2'-O)-methyltransferase [Thiopseudomonas alkaliphila]
CNPCJCIP_00015	CDS	1734				penicillin-binding protein activator [Thiopseudomonas alkaliphila]
CNPCJCIP_00016	CDS	372				YraN family protein [Thiopseudomonas alkaliphila]
CNPCJCIP_00017	CDS	588				phosphoheptose isomerase [Thiopseudomonas alkaliphila]
CNPCJCIP_00018	CDS	528				BON domain-containing protein [Thiopseudomonas alkaliphila]
CNPCJCIP_00019	CDS	315				AzlD domain-containing protein [Thiopseudomonas alkaliphila]
CNPCJCIP_00020	CDS	693				AzlC family ABC transporter permease [Thiopseudomonas alkaliphila]
CNPCJCIP_00021	CDS	3897				phosphoribosylformylglycinamidine synthase [Thiopseudomonas alkaliphila]
CNPCJCIP_00022	CDS	1440				membrane-bound lytic murein transglycosylase MltF [Thiopseudomonas alkaliphila]
CNPCJCIP_00023	CDS	816				hypothetical protein [Thiopseudomonas alkaliphila]
CNPCJCIP_00024	CDS	2370				phosphoenolpyruvate synthase [Thiopseudomonas alkaliphila]
CNPCJCIP_00025	CDS	819				pyruvate, water dikinase regulatory protein [Thiopseudomonas alkaliphila]
CNPCJCIP_00026	CDS	150				lmo0937 family membrane protein [Thiopseudomonas alkaliphila]
CNPCJCIP_00027	CDS	621				trimeric intracellular cation channel family protein [Thiopseudomonas alkaliphila]
CNPCJCIP_00028	CDS	1302				tryptophan 7-halogenase [Thiopseudomonas alkaliphila]
CNPCJCIP_00029	CDS	1326				hypothetical protein [Thiopseudomonas alkaliphila]
CNPCJCIP_00030	CDS	1122				quinohemoprotein amine dehydrogenase subunit beta [Thiopseudomonas alkaliphila]
CNPCJCIP_00031	CDS	324				quinohemoprotein amine dehydrogenase subunit gamma [Thiopseudomonas alkaliphila]
CNPCJCIP_00032	CDS	1434				quinohemoprotein amine dehydrogenase maturation protein [Thiopseudomonas alkaliphila]
CNPCJCIP_00033	CDS	1584				quinohemoprotein amine dehydrogenase subunit alpha [Thiopseudomonas alkaliphila]
CNPCJCIP_00034	CDS	1491				aldehyde dehydrogenase family protein [Thiopseudomonas alkaliphila]
CNPCJCIP_00035	CDS	591				S8 family serine peptidase [Thiopseudomonas alkaliphila]
CNPCJCIP_00036	CDS	1734				ABC transporter ATP-binding protein [Thiopseudomonas alkaliphila]
CNPCJCIP_00037	CDS	1866				sigma-54-dependent Fis family transcriptional regulator [Thiopseudomonas alkaliphila]
CNPCJCIP_00038	tRNA	77				tRNA-Arg(cct)
CNPCJCIP_00039	CDS	273				IS3 family transposase, partial [Thiopseudomonas alkaliphila]
CNPCJCIP_00040	CDS	906				hypothetical protein [Thiopseudomonas alkaliphila]
CNPCJCIP_00041	CDS	852				hypothetical protein [Thiopseudomonas alkaliphila]
CNPCJCIP_00042	CDS	5448				hypothetical protein [Thiopseudomonas alkaliphila]
CNPCJCIP_00043	CDS	225				helix-turn-helix transcriptional regulator [Thiopseudomonas alkaliphila]
CNPCJCIP_00044	CDS	222				hypothetical protein [Thiopseudomonas alkaliphila]
CNPCJCIP_00045	CDS	1227				hypothetical protein
CNPCJCIP_00046	CDS	249				hypothetical protein [Thiopseudomonas alkaliphila]
CNPCJCIP_00047	CDS	855				HD domain-containing protein [Thiopseudomonas alkaliphila]
CNPCJCIP_00048	CDS	2439				class I SAM-dependent DNA methyltransferase [Thiopseudomonas alkaliphila]
CNPCJCIP_00049	CDS	1335				restriction endonuclease subunit S [Thiopseudomonas alkaliphila]
CNPCJCIP_00050	CDS	1167				hypothetical protein
CNPCJCIP_00051	CDS	315				hypothetical protein
