locus_tag	ftype	length_bp	gene	EC_number	COG	product
HLBBFNMA_00001	CDS	816				MULTISPECIES: sulfonamide-resistant dihydropteroate synthase Sul2 [Bacteria]
HLBBFNMA_00002	CDS	561				NADPH-dependent FMN reductase [Thiopseudomonas alkaliphila]
HLBBFNMA_00003	CDS	1638				electron transfer flavoprotein-ubiquinone oxidoreductase [Thiopseudomonas alkaliphila]
HLBBFNMA_00004	CDS	750				electron transfer flavoprotein subunit beta/FixA family protein [Thiopseudomonas alkaliphila]
HLBBFNMA_00005	CDS	930				FAD-binding protein [Thiopseudomonas alkaliphila]
HLBBFNMA_00006	CDS	1026				hypothetical protein
HLBBFNMA_00007	CDS	339				MGMT family protein [Thiopseudomonas alkaliphila]
HLBBFNMA_00008	CDS	1506				AmpG family muropeptide MFS transporter [Thiopseudomonas alkaliphila]
HLBBFNMA_00009	CDS	507				FxsA family protein [Thiopseudomonas alkaliphila]
HLBBFNMA_00010	CDS	294				co-chaperone GroES [Thiopseudomonas alkaliphila]
HLBBFNMA_00011	CDS	1650				chaperonin GroEL [Thiopseudomonas alkaliphila]
HLBBFNMA_00012	CDS	1152				acyl-CoA dehydrogenase family protein [Thiopseudomonas alkaliphila]
HLBBFNMA_00013	CDS	1074				enoyl-CoA hydratase/isomerase family protein [Thiopseudomonas alkaliphila]
HLBBFNMA_00014	CDS	888				3-hydroxyisobutyrate dehydrogenase [Thiopseudomonas alkaliphila]
HLBBFNMA_00015	CDS	1509				CoA-acylating methylmalonate-semialdehyde dehydrogenase [Thiopseudomonas alkaliphila]
HLBBFNMA_00016	CDS	894				LysR family transcriptional regulator [Thiopseudomonas alkaliphila]
HLBBFNMA_00017	CDS	1026				AraC family transcriptional regulator [Thiopseudomonas alkaliphila]
HLBBFNMA_00018	CDS	1683				AMP-binding protein [Thiopseudomonas alkaliphila]
HLBBFNMA_00019	CDS	768				3-hydroxyacyl-CoA dehydrogenase [Thiopseudomonas alkaliphila]
HLBBFNMA_00020	CDS	1191				acetyl-CoA C-acyltransferase [Thiopseudomonas alkaliphila]
HLBBFNMA_00021	CDS	822				enoyl-CoA hydratase [Thiopseudomonas alkaliphila]
HLBBFNMA_00022	CDS	1017	gltS		COG0786	Sodium/glutamate symporter
HLBBFNMA_00023	CDS	1710				proline--tRNA ligase [Thiopseudomonas alkaliphila]
HLBBFNMA_00024	CDS	1293				OprD family outer membrane porin [Thiopseudomonas alkaliphila]
HLBBFNMA_00025	CDS	435				HIT domain-containing protein [Thiopseudomonas alkaliphila]
HLBBFNMA_00026	CDS	207				SlyX family protein [Thiopseudomonas alkaliphila]
HLBBFNMA_00027	CDS	1665				2-isopropylmalate synthase [Thiopseudomonas alkaliphila]
HLBBFNMA_00028	CDS	453				hypothetical protein [Thiopseudomonas alkaliphila]
HLBBFNMA_00029	CDS	2043				TonB-dependent copper receptor [Thiopseudomonas alkaliphila]
HLBBFNMA_00030	CDS	1257				mechanosensitive ion channel family protein [Thiopseudomonas alkaliphila]
HLBBFNMA_00031	CDS	819				peptidoglycan DD-metalloendopeptidase family protein [Thiopseudomonas alkaliphila]
HLBBFNMA_00032	CDS	1365				exodeoxyribonuclease VII large subunit [Thiopseudomonas alkaliphila]
HLBBFNMA_00033	CDS	1134				4-phosphoerythronate dehydrogenase PdxB [Thiopseudomonas alkaliphila]
HLBBFNMA_00034	CDS	1671				cation acetate symporter [Thiopseudomonas alkaliphila]
HLBBFNMA_00035	CDS	321				hypothetical protein
HLBBFNMA_00036	CDS	927				LysR family transcriptional regulator [Thiopseudomonas alkaliphila]
HLBBFNMA_00037	CDS	117				cytochrome bd-I oxidase subunit CydX [Thiopseudomonas alkaliphila]
HLBBFNMA_00038	CDS	1134				cytochrome d ubiquinol oxidase subunit II [Thiopseudomonas alkaliphila]
HLBBFNMA_00039	CDS	1569				cytochrome ubiquinol oxidase subunit I [Thiopseudomonas alkaliphila]
HLBBFNMA_00040	CDS	1389				PhoH family protein [Thiopseudomonas alkaliphila]
HLBBFNMA_00041	CDS	201				hypothetical protein
HLBBFNMA_00042	CDS	651				hypothetical protein
HLBBFNMA_00043	CDS	465				polyribonucleotide nucleotidyltransferase [Thiopseudomonas alkaliphila]
HLBBFNMA_00044	CDS	660				glutathione S-transferase family protein [Thiopseudomonas alkaliphila]
HLBBFNMA_00045	CDS	933				endonuclease [Thiopseudomonas alkaliphila]
HLBBFNMA_00046	CDS	456				hypothetical protein [Thiopseudomonas alkaliphila]
HLBBFNMA_00047	CDS	402				hypothetical protein [Thiopseudomonas alkaliphila]
HLBBFNMA_00048	CDS	564				tetratricopeptide repeat protein [Thiopseudomonas alkaliphila]
HLBBFNMA_00049	CDS	213				hypothetical protein [Thiopseudomonas alkaliphila]
HLBBFNMA_00050	CDS	525				conjugative transfer protein MobI(A/C) [Thiopseudomonas alkaliphila]
HLBBFNMA_00051	CDS	1170				hypothetical protein [Thiopseudomonas alkaliphila]
HLBBFNMA_00052	CDS	570				transglycosylase SLT domain-containing protein [Thiopseudomonas alkaliphila]
HLBBFNMA_00053	CDS	591				hypothetical protein [Thiopseudomonas alkaliphila]
HLBBFNMA_00054	CDS	3192				hypothetical protein
HLBBFNMA_00055	CDS	1452				conjugal transfer protein TraH [Thiopseudomonas alkaliphila]
HLBBFNMA_00056	CDS	1005				conjugal transfer protein TraF [Thiopseudomonas alkaliphila]
HLBBFNMA_00057	CDS	1770				UvrD-helicase domain-containing protein [Thiopseudomonas alkaliphila]
HLBBFNMA_00058	CDS	2076				site-specific DNA-methyltransferase [Thiopseudomonas alkaliphila]
HLBBFNMA_00059	CDS	2622				DEAD/DEAH box helicase family protein [Thiopseudomonas alkaliphila]
HLBBFNMA_00060	CDS	1023				tyrosine-type recombinase/integrase [Thiopseudomonas alkaliphila]
HLBBFNMA_00061	CDS	705				MULTISPECIES: IS6-like element IS26 family transposase [Bacteria]
HLBBFNMA_00062	CDS	816				MULTISPECIES: APH(3')-I family aminoglycoside O-phosphotransferase [Bacteria]
HLBBFNMA_00063	CDS	348				MULTISPECIES: LysR substrate-binding domain-containing protein [Gammaproteobacteria]
HLBBFNMA_00064	CDS	705				MULTISPECIES: IS6-like element IS26 family transposase [Bacteria]
HLBBFNMA_00065	CDS	126				hypothetical protein
HLBBFNMA_00066	CDS	213				hypothetical protein [Thiopseudomonas alkaliphila]
HLBBFNMA_00067	CDS	261				hypothetical protein
HLBBFNMA_00068	CDS	5751				AVAST type 1 anti-phage system protease Avs1b [Thiopseudomonas alkaliphila]
HLBBFNMA_00069	CDS	1191				AVAST type 1 anti-phage system MBL fold metallo-hydrolase Avs1a [Thiopseudomonas alkaliphila]
HLBBFNMA_00070	CDS	330				HigA family addiction module antitoxin [Thiopseudomonas alkaliphila]
HLBBFNMA_00071	CDS	294				type II toxin-antitoxin system RelE/ParE family toxin [Thiopseudomonas alkaliphila]
HLBBFNMA_00072	CDS	765				ABC transporter ATPase [Thiopseudomonas alkaliphila]
HLBBFNMA_00073	CDS	846				helicase RepA family protein [Thiopseudomonas alkaliphila]
HLBBFNMA_00074	CDS	228				AlpA family phage regulatory protein [Thiopseudomonas alkaliphila]
HLBBFNMA_00075	CDS	1017				LuxR family transcriptional regulator [Thiopseudomonas alkaliphila]
HLBBFNMA_00076	CDS	1203				tyrosine-type recombinase/integrase [Thiopseudomonas alkaliphila]
HLBBFNMA_00077	CDS	477				glutamine-hydrolyzing GMP synthase [Thiopseudomonas alkaliphila]
HLBBFNMA_00078	CDS	861				MULTISPECIES: macrolide hydrolase EstT [Bacteria]
HLBBFNMA_00079	CDS	1077				MULTISPECIES: tetracycline-inactivating monooxygenase Tet(X) [Bacteria]
HLBBFNMA_00080	CDS	354				hypothetical protein [Thiopseudomonas alkaliphila]
HLBBFNMA_00081	CDS	2820				hypothetical protein [Thiopseudomonas alkaliphila]
HLBBFNMA_00082	CDS	540				hypothetical protein [Thiopseudomonas alkaliphila]
HLBBFNMA_00083	CDS	984				hypothetical protein [Thiopseudomonas alkaliphila]
HLBBFNMA_00084	CDS	498				hypothetical protein [Thiopseudomonas alkaliphila]
HLBBFNMA_00085	CDS	789				hypothetical protein [Thiopseudomonas alkaliphila]
HLBBFNMA_00086	CDS	666				hypothetical protein
HLBBFNMA_00087	rRNA	1541				16S ribosomal RNA
HLBBFNMA_00088	tRNA	77				tRNA-Ile(gat)
HLBBFNMA_00089	tRNA	76				tRNA-Ala(tgc)
HLBBFNMA_00090	rRNA	2889				23S ribosomal RNA
HLBBFNMA_00091	rRNA	80				5S ribosomal RNA (partial)
HLBBFNMA_00092	CDS	672				MobA/MobL family protein, partial [Thiopseudomonas alkaliphila]
HLBBFNMA_00093	CDS	498				hypothetical protein [Acinetobacter towneri]
HLBBFNMA_00094	CDS	1311				hypothetical protein [Thiopseudomonas alkaliphila]
HLBBFNMA_00095	CDS	933				MULTISPECIES: replication initiation protein RepM [Gammaproteobacteria]
HLBBFNMA_00096	CDS	810				hypothetical protein [Thiopseudomonas alkaliphila]
HLBBFNMA_00097	CDS	216				hypothetical protein [Thiopseudomonas alkaliphila]
HLBBFNMA_00098	CDS	297				MULTISPECIES: BrnT family toxin [Gammaproteobacteria]
HLBBFNMA_00099	CDS	501				hypothetical protein [Acinetobacter bereziniae]
HLBBFNMA_00100	CDS	330				hypothetical protein [Thiopseudomonas alkaliphila]
HLBBFNMA_00101	CDS	294	mobA			Mobilization protein A
HLBBFNMA_00102	CDS	831				MATE family efflux transporter [Thiopseudomonas alkaliphila]
HLBBFNMA_00103	CDS	795				MULTISPECIES: aminoglycoside 3'-phosphotransferase [Gammaproteobacteria]
HLBBFNMA_00104	CDS	453				GrpB family protein [Thiopseudomonas alkaliphila]
HLBBFNMA_00105	CDS	768				IS91 family transposase ISPps1
HLBBFNMA_00106	CDS	456				hypothetical protein
HLBBFNMA_00107	CDS	1215				MULTISPECIES: chloramphenicol/florfenicol efflux MFS transporter FloR [Bacteria]
HLBBFNMA_00108	CDS	1527				IS66 family transposase [Thiopseudomonas alkaliphila]
HLBBFNMA_00109	CDS	357				IS66 family insertion sequence element accessory protein TnpB [Thiopseudomonas alkaliphila]
HLBBFNMA_00110	CDS	312				hypothetical protein [Thiopseudomonas alkaliphila]
HLBBFNMA_00111	CDS	603				MULTISPECIES: tetracycline resistance transcriptional repressor TetR [Pseudomonadota]
HLBBFNMA_00112	CDS	1203				MULTISPECIES: Tet(D)-related tetracycline efflux MFS transporter [Pseudomonadota]
HLBBFNMA_00113	rRNA	103				5S ribosomal RNA
HLBBFNMA_00114	tRNA	77				tRNA-Arg(cct)
HLBBFNMA_00115	CDS	1866				sigma-54-dependent Fis family transcriptional regulator [Thiopseudomonas alkaliphila]
HLBBFNMA_00116	CDS	1734				ABC transporter ATP-binding protein [Thiopseudomonas alkaliphila]
HLBBFNMA_00117	CDS	591				S8 family serine peptidase [Thiopseudomonas alkaliphila]
HLBBFNMA_00118	CDS	1491				aldehyde dehydrogenase family protein [Thiopseudomonas alkaliphila]
HLBBFNMA_00119	CDS	1584				quinohemoprotein amine dehydrogenase subunit alpha [Thiopseudomonas alkaliphila]
HLBBFNMA_00120	CDS	1434				quinohemoprotein amine dehydrogenase maturation protein [Thiopseudomonas alkaliphila]
HLBBFNMA_00121	CDS	324				quinohemoprotein amine dehydrogenase subunit gamma [Thiopseudomonas alkaliphila]
HLBBFNMA_00122	CDS	1122				quinohemoprotein amine dehydrogenase subunit beta [Thiopseudomonas alkaliphila]
