locus_tag	ftype	length_bp	gene	EC_number	COG	product
LPFGMFKG_00001	CDS	477				Cys-tRNA(Pro) deacylase [Thiopseudomonas alkaliphila]
LPFGMFKG_00002	CDS	774				hypothetical protein [Thiopseudomonas alkaliphila]
LPFGMFKG_00003	CDS	1074				linear amide C-N hydrolase [Thiopseudomonas alkaliphila]
LPFGMFKG_00004	CDS	159				hypothetical protein
LPFGMFKG_00005	CDS	351				isochorismate family cysteine hydrolase YcaC [Thiopseudomonas alkaliphila]
LPFGMFKG_00006	CDS	129				carbon storage regulator [Thiopseudomonas alkaliphila]
LPFGMFKG_00007	CDS	1173				NO-inducible flavohemoprotein [Thiopseudomonas alkaliphila]
LPFGMFKG_00008	CDS	462				Rrf2 family transcriptional regulator [Thiopseudomonas alkaliphila]
LPFGMFKG_00009	CDS	288				hypothetical protein [Thiopseudomonas alkaliphila]
LPFGMFKG_00010	CDS	312				multidrug efflux SMR transporter [Thiopseudomonas alkaliphila]
LPFGMFKG_00011	CDS	966				LysR substrate-binding domain-containing protein [Thiopseudomonas alkaliphila]
LPFGMFKG_00012	tRNA	85				tRNA-Leu(tag)
LPFGMFKG_00013	tRNA	76				tRNA-His(gtg)
LPFGMFKG_00014	tRNA	77				tRNA-Arg(tct)
LPFGMFKG_00015	CDS	858				bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD [Thiopseudomonas alkaliphila]
LPFGMFKG_00016	CDS	654				MBL fold metallo-hydrolase [Thiopseudomonas alkaliphila]
LPFGMFKG_00017	CDS	4908				alpha-2-macroglobulin [Thiopseudomonas alkaliphila]
LPFGMFKG_00018	CDS	1659				nitrite/sulfite reductase [Thiopseudomonas alkaliphila]
LPFGMFKG_00019	CDS	525				hypothetical protein
LPFGMFKG_00020	CDS	1497				hypothetical protein
LPFGMFKG_00021	CDS	852				formyltetrahydrofolate deformylase [Thiopseudomonas alkaliphila]
LPFGMFKG_00022	CDS	735				VacJ family lipoprotein [Thiopseudomonas alkaliphila]
LPFGMFKG_00023	CDS	1386				cysteine--tRNA ligase [Thiopseudomonas alkaliphila]
LPFGMFKG_00024	CDS	1683				glutamine--tRNA ligase/YqeY domain fusion protein [Thiopseudomonas alkaliphila]
LPFGMFKG_00025	CDS	495				peptidylprolyl isomerase [Thiopseudomonas alkaliphila]
LPFGMFKG_00026	CDS	747				UDP-2,3-diacylglucosamine diphosphatase [Thiopseudomonas alkaliphila]
LPFGMFKG_00027	CDS	1314				short-chain fatty acid transporter [Thiopseudomonas alkaliphila]
LPFGMFKG_00028	CDS	2343				NAD-dependent DNA ligase LigA [Thiopseudomonas alkaliphila]
LPFGMFKG_00029	CDS	858				cell division protein ZipA [Thiopseudomonas alkaliphila]
LPFGMFKG_00030	CDS	1905				1-deoxy-D-xylulose-5-phosphate synthase [Thiopseudomonas alkaliphila]
LPFGMFKG_00031	CDS	345				zinc ribbon domain-containing protein YjdM [Thiopseudomonas alkaliphila]
LPFGMFKG_00032	CDS	1689				30S ribosomal protein S1 [Thiopseudomonas alkaliphila]
LPFGMFKG_00033	CDS	678				(d)CMP kinase [Thiopseudomonas alkaliphila]
LPFGMFKG_00034	CDS	2244				bifunctional prephenate dehydrogenase/3-phosphoshikimate 1-carboxyvinyltransferase [Thiopseudomonas alkaliphila]
LPFGMFKG_00035	CDS	1134				histidinol-phosphate transaminase [Thiopseudomonas alkaliphila]
LPFGMFKG_00036	CDS	1095				prephenate dehydratase [Thiopseudomonas alkaliphila]
LPFGMFKG_00037	CDS	1083				3-phosphoserine/phosphohydroxythreonine transaminase [Thiopseudomonas alkaliphila]
LPFGMFKG_00038	CDS	2766				DNA gyrase subunit A [Thiopseudomonas alkaliphila]
LPFGMFKG_00039	CDS	1074				S-methyl-5-thioribose-1-phosphate isomerase [Thiopseudomonas alkaliphila]
LPFGMFKG_00040	CDS	1827				lipid A export permease/ATP-binding protein MsbA [Thiopseudomonas alkaliphila]
LPFGMFKG_00041	CDS	705				DnaA regulatory inactivator Hda [Thiopseudomonas alkaliphila]
LPFGMFKG_00042	CDS	1176				AI-2E family transporter [Thiopseudomonas alkaliphila]
LPFGMFKG_00043	CDS	555				CDP-alcohol phosphatidyltransferase family protein [Thiopseudomonas alkaliphila]
LPFGMFKG_00044	CDS	300				BolA family protein [Thiopseudomonas alkaliphila]
LPFGMFKG_00045	CDS	1341				OprD family porin [Thiopseudomonas alkaliphila]
LPFGMFKG_00046	CDS	639				lipopolysaccharide kinase InaA family protein [Thiopseudomonas alkaliphila]
LPFGMFKG_00047	CDS	1056				hypothetical protein
