locus_tag	ftype	length_bp	gene	EC_number	COG	product
NHDCJNKO_00001	CDS	738				SPOR domain-containing protein [Thiopseudomonas alkaliphila]
NHDCJNKO_00002	CDS	498				CvpA family protein [Thiopseudomonas alkaliphila]
NHDCJNKO_00003	CDS	1506				amidophosphoribosyltransferase [Thiopseudomonas alkaliphila]
NHDCJNKO_00004	CDS	1212				O-succinylhomoserine sulfhydrylase [Thiopseudomonas alkaliphila]
NHDCJNKO_00005	CDS	1434				exodeoxyribonuclease I [Thiopseudomonas alkaliphila]
NHDCJNKO_00006	CDS	375				DNA binding protein [Thiopseudomonas alkaliphila]
NHDCJNKO_00007	CDS	1386				oxygen-independent coproporphyrinogen III oxidase [Thiopseudomonas alkaliphila]
NHDCJNKO_00008	CDS	1575				phospholipase D family protein [Thiopseudomonas alkaliphila]
NHDCJNKO_00009	CDS	1329				trigger factor [Thiopseudomonas alkaliphila]
NHDCJNKO_00010	CDS	630				ATP-dependent Clp endopeptidase proteolytic subunit ClpP [Thiopseudomonas alkaliphila]
NHDCJNKO_00011	CDS	1260				ATP-dependent Clp protease ATP-binding subunit ClpX [Thiopseudomonas alkaliphila]
NHDCJNKO_00012	CDS	2409				endopeptidase La [Thiopseudomonas alkaliphila]
NHDCJNKO_00013	CDS	273				HU family DNA-binding protein [Thiopseudomonas alkaliphila]
NHDCJNKO_00014	CDS	1872				hypothetical protein
NHDCJNKO_00015	CDS	255				YheU family protein [Thiopseudomonas alkaliphila]
NHDCJNKO_00016	CDS	597				NAD(P)H-dependent oxidoreductase [Thiopseudomonas alkaliphila]
NHDCJNKO_00017	CDS	1332				SLC13 family permease [Thiopseudomonas alkaliphila]
NHDCJNKO_00018	CDS	867				Dyp-type peroxidase [Thiopseudomonas alkaliphila]
NHDCJNKO_00019	CDS	477				SsrA-binding protein SmpB [Thiopseudomonas alkaliphila]
NHDCJNKO_00020	CDS	438				type II toxin-antitoxin system RatA family toxin [Thiopseudomonas alkaliphila]
NHDCJNKO_00021	CDS	321				RnfH family protein [Thiopseudomonas alkaliphila]
NHDCJNKO_00022	CDS	582				outer membrane protein assembly factor BamE [Thiopseudomonas alkaliphila]
NHDCJNKO_00023	CDS	411				ferric iron uptake transcriptional regulator [Thiopseudomonas alkaliphila]
NHDCJNKO_00024	CDS	816				hypothetical protein [Thiopseudomonas alkaliphila]
NHDCJNKO_00025	CDS	1005				nucleoid-associated protein YejK [Thiopseudomonas alkaliphila]
NHDCJNKO_00026	CDS	597				IMPACT family protein [Thiopseudomonas alkaliphila]
NHDCJNKO_00027	CDS	1401				C4-dicarboxylate ABC transporter substrate-binding protein [Thiopseudomonas alkaliphila]
NHDCJNKO_00028	CDS	342				50S ribosome-binding protein YggL [Thiopseudomonas alkaliphila]
NHDCJNKO_00029	CDS	453				hypothetical protein [Thiopseudomonas alkaliphila]
NHDCJNKO_00030	CDS	996				LLM class flavin-dependent oxidoreductase [Thiopseudomonas alkaliphila]
NHDCJNKO_00031	CDS	906				transporter [Thiopseudomonas alkaliphila]
NHDCJNKO_00032	CDS	2067				PQQ-dependent dehydrogenase, methanol/ethanol family [Thiopseudomonas alkaliphila]
NHDCJNKO_00033	CDS	537				adenine phosphoribosyltransferase [Thiopseudomonas alkaliphila]
NHDCJNKO_00034	CDS	1305				GntP family permease [Thiopseudomonas alkaliphila]
NHDCJNKO_00035	CDS	312				hypothetical protein
NHDCJNKO_00036	CDS	894				NAD(P)-dependent oxidoreductase [Thiopseudomonas alkaliphila]
NHDCJNKO_00037	CDS	789				TIM barrel protein [Thiopseudomonas alkaliphila]
NHDCJNKO_00038	CDS	171				hypothetical protein [Thiopseudomonas alkaliphila]
NHDCJNKO_00039	CDS	663				Bax inhibitor-1/YccA family protein [Thiopseudomonas alkaliphila]
NHDCJNKO_00040	tRNA	88				tRNA-Ser(tga)
NHDCJNKO_00041	CDS	939				Fic family protein [Thiopseudomonas alkaliphila]
NHDCJNKO_00042	CDS	237				hypothetical protein
