locus_tag	ftype	length_bp	gene	EC_number	COG	product
AAABECEJ_00001	tRNA	77				tRNA-Arg(cct)
AAABECEJ_00002	CDS	1866				sigma-54-dependent Fis family transcriptional regulator [Thiopseudomonas alkaliphila]
AAABECEJ_00003	CDS	1734				ABC transporter ATP-binding protein [Thiopseudomonas alkaliphila]
AAABECEJ_00004	CDS	591				S8 family serine peptidase [Thiopseudomonas alkaliphila]
AAABECEJ_00005	CDS	1491				aldehyde dehydrogenase family protein [Thiopseudomonas alkaliphila]
AAABECEJ_00006	CDS	1584				quinohemoprotein amine dehydrogenase subunit alpha [Thiopseudomonas alkaliphila]
AAABECEJ_00007	CDS	1434				quinohemoprotein amine dehydrogenase maturation protein [Thiopseudomonas alkaliphila]
AAABECEJ_00008	CDS	324				quinohemoprotein amine dehydrogenase subunit gamma [Thiopseudomonas alkaliphila]
AAABECEJ_00009	CDS	1122				quinohemoprotein amine dehydrogenase subunit beta [Thiopseudomonas alkaliphila]
AAABECEJ_00010	CDS	1326				hypothetical protein [Thiopseudomonas alkaliphila]
AAABECEJ_00011	CDS	1302				tryptophan 7-halogenase [Thiopseudomonas alkaliphila]
AAABECEJ_00012	CDS	621				trimeric intracellular cation channel family protein [Thiopseudomonas alkaliphila]
AAABECEJ_00013	CDS	150				lmo0937 family membrane protein [Thiopseudomonas alkaliphila]
AAABECEJ_00014	CDS	819				pyruvate, water dikinase regulatory protein [Thiopseudomonas alkaliphila]
AAABECEJ_00015	CDS	2370				phosphoenolpyruvate synthase [Thiopseudomonas alkaliphila]
AAABECEJ_00016	CDS	816				hypothetical protein [Thiopseudomonas alkaliphila]
AAABECEJ_00017	CDS	1440				membrane-bound lytic murein transglycosylase MltF [Thiopseudomonas alkaliphila]
AAABECEJ_00018	CDS	3897				phosphoribosylformylglycinamidine synthase [Thiopseudomonas alkaliphila]
AAABECEJ_00019	CDS	369				hypothetical protein [Thiopseudomonas alkaliphila]
AAABECEJ_00020	CDS	822				methyltransferase domain-containing protein [Thiopseudomonas alkaliphila]
AAABECEJ_00021	CDS	288				hypothetical protein
AAABECEJ_00022	CDS	801				tRNA cyclic N6-threonylcarbamoyladenosine(37) synthase TcdA [Thiopseudomonas alkaliphila]
AAABECEJ_00023	CDS	1605				isocitrate lyase [Thiopseudomonas alkaliphila]
AAABECEJ_00024	CDS	201				hypothetical protein [Thiopseudomonas alkaliphila]
AAABECEJ_00025	CDS	429				GNAT family N-acetyltransferase [Thiopseudomonas alkaliphila]
